id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
7536,59,Pemerintah Provinsi,188047,SMA,9,Menikah,Pemuka Agama,Laki2,0,0,40,<= 6 juta
7537,47,Wiraswasta,298130,SMA,9,Menikah,Sales,Laki2,0,0,40,<= 6 juta
7538,19,Wiraswasta,344414,Pendidikan Tinggi,10,Belum Pernah Menikah,Supir,Laki2,0,0,40,<= 6 juta
7539,40,Pekerja Bebas Bukan Perusahan,282678,Master,14,Berpisah,Ekesekutif Managerial,Perempuan,0,0,20,<= 6 juta
7540,29,Wiraswasta,245402,11th,7,Cerai,Servis Lainnya,Perempuan,0,0,70,<= 6 juta
7541,26,Pemerintah Lokal,143583,Master,14,Belum Pernah Menikah,Spesialis,Perempuan,0,0,40,<= 6 juta
7542,47,Pekerja Bebas Bukan Perusahan,122307,Sarjana,13,Menikah,Sales,Laki2,0,26418000,40,> 6 juta
7543,40,Wiraswasta,177027,Sarjana,13,Menikah,Servis Lainnya,Perempuan,107632000,0,52,> 6 juta
7544,52,Pemerintah Lokal,136175,Pendidikan Tinggi,10,Menikah,Penjaga,Laki2,0,0,35,<= 6 juta
7545,40,Wiraswasta,37848,SMA,9,Cerai,Spesialis,Perempuan,0,0,40,<= 6 juta
7546,41,Wiraswasta,198965,SMA,9,Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
7547,18,?,264924,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Perempuan,0,0,40,<= 6 juta
7548,35,Wiraswasta,119992,D3,12,Menikah,Perbaikan Kerajinan,Laki2,0,0,45,<= 6 juta
7549,38,Wiraswasta,198216,Pendidikan Tinggi,10,Cerai,Ekesekutif Managerial,Perempuan,0,0,40,<= 6 juta
7550,54,Wiraswasta,139127,SMA,9,Cerai,Servis Lainnya,Perempuan,0,0,40,<= 6 juta
7551,22,Wiraswasta,157541,SMA,9,Menikah,Pembersih,Laki2,0,0,50,<= 6 juta
7552,28,Wiraswasta,452808,10th,6,Belum Pernah Menikah,Pembersih,Laki2,0,0,40,<= 6 juta
7553,31,Pekerja Bebas Perusahaan,113752,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0,0,40,> 6 juta
7554,27,Wiraswasta,452963,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
7555,50,Pemerintah Provinsi,98980,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,102172000,0,40,> 6 juta
7556,33,Wiraswasta,578701,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0,0,40,<= 6 juta
7557,56,Pemerintah Lokal,160829,SMA,9,Cerai,Pemuka Agama,Perempuan,0,0,46,<= 6 juta
7558,18,Wiraswasta,379710,SMA,9,Belum Pernah Menikah,Sales,Perempuan,0,0,20,<= 6 juta
7559,29,Wiraswasta,173851,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
7560,28,Wiraswasta,31493,Sarjana,13,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0,0,40,> 6 juta
7561,22,Pemerintah Negara,347803,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Laki2,0,0,20,<= 6 juta
7562,46,Pekerja Bebas Bukan Perusahan,98881,Master,14,Cerai,Spesialis,Perempuan,0,0,45,<= 6 juta
7563,48,Wiraswasta,121253,Sarjana,13,Menikah LDR,Sales,Perempuan,0,34608000,70,> 6 juta
7564,49,Wiraswasta,164799,SMA,9,Menikah,Mesin Inspeksi,Laki2,0,0,40,> 6 juta
7565,76,?,32995,7th-8th,4,Menikah,?,Laki2,0,0,5,<= 6 juta
7566,48,Wiraswasta,193188,D4,11,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,> 6 juta
7567,26,Wiraswasta,106950,Pendidikan Tinggi,10,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
7568,44,Wiraswasta,167005,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,61404000,0,55,<= 6 juta
7569,36,Wiraswasta,383566,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,210336000,0,55,> 6 juta
7570,20,Wiraswasta,286166,SMA,9,Belum Pernah Menikah,Sales,Laki2,0,0,60,<= 6 juta
7571,22,Wiraswasta,192017,SMA,9,Belum Pernah Menikah,Pemuka Agama,Laki2,0,0,40,<= 6 juta
7572,34,Pekerja Bebas Bukan Perusahan,114691,SMA,9,Menikah,Spesialis,Laki2,0,0,40,> 6 juta
7573,45,Wiraswasta,142889,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0,0,44,<= 6 juta
7574,21,Wiraswasta,434102,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
7575,42,Wiraswasta,360879,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
7576,56,Pemerintah Lokal,198277,12th,8,Belum Pernah Menikah,Pembersih,Laki2,0,0,40,<= 6 juta
7577,57,Wiraswasta,548256,12th,8,Menikah,Supir,Laki2,107632000,0,40,> 6 juta
7578,48,Wiraswasta,224087,10th,6,Menikah,Supir,Laki2,0,0,40,<= 6 juta
7579,20,Wiraswasta,24896,SMA,9,Menikah,Pemuka Agama,Perempuan,0,0,20,<= 6 juta
7580,27,Wiraswasta,146460,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Perempuan,0,0,40,<= 6 juta
7581,25,Wiraswasta,108658,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0,0,45,<= 6 juta
7582,27,Pekerja Bebas Bukan Perusahan,30244,SMA,9,Belum Pernah Menikah,Petani,Laki2,0,0,80,<= 6 juta
7583,56,Pekerja Bebas Bukan Perusahan,214323,11th,7,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
7584,41,Pemerintah Provinsi,350387,Master,14,Menikah,Perbaikan Kerajinan,Laki2,0,0,60,> 6 juta
7585,41,Wiraswasta,222142,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,48496000,0,40,<= 6 juta
7586,44,Wiraswasta,124747,SMA,9,Menikah,Ekesekutif Managerial,Perempuan,43442000,0,40,> 6 juta
7587,46,Wiraswasta,57929,SMA,9,Cerai,Servis Lainnya,Laki2,0,0,25,<= 6 juta
7588,39,Wiraswasta,172538,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
7589,63,Wiraswasta,133144,SMA,9,Menikah,Spesialis,Laki2,0,0,45,<= 6 juta
7590,52,Wiraswasta,343440,Pendidikan Tinggi,10,Menikah,Spesialis,Laki2,0,0,40,<= 6 juta
7591,51,Wiraswasta,237630,SMA,9,Menikah,Tech-support,Laki2,102172000,0,50,> 6 juta
7592,54,Wiraswasta,249949,Pendidikan Tinggi,10,Cerai,Mesin Inspeksi,Perempuan,0,0,40,<= 6 juta
7593,28,Wiraswasta,355259,Master,14,Belum Pernah Menikah,Spesialis,Perempuan,0,0,40,> 6 juta
7594,29,Wiraswasta,352451,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Perempuan,0,0,40,<= 6 juta
7595,43,Pemerintah Provinsi,19914,Pendidikan Tinggi,10,Janda,Ekesekutif Managerial,Perempuan,0,0,15,<= 6 juta
7596,35,Wiraswasta,265662,Sarjana,13,Menikah,Sales,Laki2,0,0,40,> 6 juta
7597,42,Pemerintah Provinsi,284403,SMA,9,Cerai,Pemuka Agama,Laki2,0,0,40,<= 6 juta
7598,58,Wiraswasta,236596,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,0,0,40,> 6 juta
7599,70,Pekerja Bebas Perusahaan,188260,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0,0,16,<= 6 juta
7600,47,Pemerintah Provinsi,114222,D3,12,Menikah,Pemuka Agama,Laki2,0,0,55,> 6 juta
7601,58,Wiraswasta,212864,SMA,9,Cerai,Pembersih,Laki2,0,0,40,<= 6 juta
7602,45,Pekerja Bebas Perusahaan,185497,Sarjana,13,Menikah,Ekesekutif Managerial,Perempuan,0,0,70,<= 6 juta
7603,49,Wiraswasta,558752,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Perempuan,51436000,0,40,<= 6 juta
7604,22,Wiraswasta,263398,Pendidikan Tinggi,10,Belum Pernah Menikah,Tech-support,Laki2,0,0,50,<= 6 juta
7605,52,Wiraswasta,198824,D4,11,Berpisah,Servis Lainnya,Perempuan,0,0,35,<= 6 juta
7606,33,Pekerja Bebas Perusahaan,40444,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,0,0,40,<= 6 juta
7607,67,Pemerintah Negara,239705,Doktor,16,Menikah,Spesialis,Laki2,0,0,12,<= 6 juta
7608,23,Wiraswasta,201138,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,8,<= 6 juta
7609,25,Wiraswasta,259688,11th,7,Menikah,Perbaikan Kerajinan,Laki2,0,0,50,<= 6 juta
7610,58,Wiraswasta,236596,SMA,9,Menikah,Pemuka Agama,Laki2,0,0,45,> 6 juta
7611,33,Wiraswasta,198660,SMA,9,Menikah,Mesin Inspeksi,Laki2,1399986000,0,56,> 6 juta
7612,61,Wiraswasta,137733,Pendidikan Tinggi,10,Cerai,Servis Lainnya,Laki2,0,0,25,<= 6 juta
7613,38,Wiraswasta,192939,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
7614,51,Wiraswasta,328947,Pendidikan Tinggi,10,Janda,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
7615,56,Pekerja Bebas Bukan Perusahan,356067,Master,14,Belum Pernah Menikah,Sales,Laki2,0,0,16,<= 6 juta
7616,20,Wiraswasta,256796,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
7617,62,Wiraswasta,178745,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,45,> 6 juta
7618,41,Wiraswasta,116493,Pendidikan Tinggi,10,Cerai,Sales,Laki2,0,0,52,<= 6 juta
7619,32,Wiraswasta,27051,Sarjana,13,Menikah,Pemuka Agama,Laki2,0,0,44,<= 6 juta
7620,47,Wiraswasta,182655,D4,11,Menikah,Tech-support,Laki2,0,0,52,> 6 juta
7621,47,Pemerintah Provinsi,227244,Sarjana,13,Menikah,Penjaga,Laki2,0,0,50,> 6 juta
7622,49,Pemerintah Provinsi,110373,Pendidikan Tinggi,10,Menikah,Tech-support,Laki2,0,0,40,> 6 juta
7623,25,Wiraswasta,254613,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
7624,58,Wiraswasta,177368,SMA,9,Menikah,Pemuka Agama,Laki2,0,0,40,<= 6 juta
7625,46,Wiraswasta,375606,Doktor,16,Belum Pernah Menikah,Spesialis,Laki2,0,0,40,> 6 juta
7626,23,Wiraswasta,211968,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,20,<= 6 juta
7627,37,Wiraswasta,183800,Sarjana,13,Menikah,Spesialis,Laki2,107632000,0,50,> 6 juta
7628,27,Pekerja Bebas Bukan Perusahan,208406,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0,0,60,> 6 juta
7629,24,Pemerintah Provinsi,104164,SMA,9,Menikah,Pemuka Agama,Laki2,0,0,40,<= 6 juta
7630,47,Wiraswasta,274720,5th-6th,3,Menikah,Servis Lainnya,Laki2,0,0,40,<= 6 juta
7631,38,Wiraswasta,101978,Pendidikan Tinggi,10,Berpisah,Mesin Inspeksi,Laki2,0,31612000,55,> 6 juta
7632,49,Wiraswasta,176814,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0,0,50,<= 6 juta
7633,38,Wiraswasta,54317,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,0,0,60,<= 6 juta
7634,46,Wiraswasta,188861,Pendidikan Tinggi,10,Menikah,Supir,Laki2,0,0,40,<= 6 juta
7635,35,Pekerja Bebas Perusahaan,237713,Sekolah Professional,15,Menikah,Spesialis,Laki2,0,0,50,> 6 juta
7636,66,Wiraswasta,236879,SD,1,Janda,Asisten Rumah Tangga,Perempuan,0,0,40,<= 6 juta
7637,25,Wiraswasta,261519,SMA,9,Belum Pernah Menikah,Sales,Laki2,0,0,35,<= 6 juta
7638,18,Wiraswasta,141626,Pendidikan Tinggi,10,Belum Pernah Menikah,Tech-support,Laki2,30464000,0,20,<= 6 juta
7639,31,Pemerintah Negara,100863,Master,14,Cerai,Ekesekutif Managerial,Perempuan,0,0,50,> 6 juta
7640,38,Wiraswasta,368256,D3,12,Belum Pernah Menikah,Sales,Perempuan,0,0,45,<= 6 juta
7641,38,Wiraswasta,149347,Pendidikan Tinggi,10,Cerai,Sales,Laki2,0,0,60,<= 6 juta
7642,46,Wiraswasta,269652,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,61404000,0,38,> 6 juta
7643,46,Wiraswasta,121124,D3,12,Menikah,Ekesekutif Managerial,Laki2,210336000,0,50,> 6 juta
7644,33,Wiraswasta,158416,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
7645,38,?,107479,9th,5,Belum Pernah Menikah,?,Perempuan,0,0,12,<= 6 juta
7646,35,Wiraswasta,336793,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Laki2,0,0,40,<= 6 juta
7647,34,Pekerja Bebas Bukan Perusahan,140011,Sekolah Professional,15,Menikah,Spesialis,Laki2,0,0,55,> 6 juta
7648,55,Wiraswasta,226875,SMA,9,Menikah,Sales,Laki2,56896000,0,40,<= 6 juta
7649,33,Wiraswasta,330715,SMA,9,Menikah,Sales,Laki2,0,0,55,<= 6 juta
7650,40,Wiraswasta,155972,SMA,9,Menikah,Supir,Laki2,0,0,60,> 6 juta
7651,21,Pekerja Bebas Bukan Perusahan,190968,SMA,9,Belum Pernah Menikah,Petani,Laki2,0,0,25,<= 6 juta
7652,32,Pekerja Bebas Bukan Perusahan,199366,10th,6,Menikah LDR,Perbaikan Kerajinan,Laki2,0,0,16,<= 6 juta
7653,47,Wiraswasta,138107,Sarjana,13,Cerai,Ekesekutif Managerial,Laki2,0,31612000,40,> 6 juta
7654,57,Pekerja Bebas Bukan Perusahan,75785,SMA,9,Menikah,Mesin Inspeksi,Laki2,0,0,70,<= 6 juta
7655,46,Pemerintah Lokal,324561,Master,14,Menikah,Spesialis,Perempuan,0,0,45,> 6 juta
7656,43,Wiraswasta,54611,SMA,9,Cerai,Supir,Laki2,0,0,60,<= 6 juta
7657,26,Wiraswasta,61603,5th-6th,3,Menikah,Pembersih,Laki2,0,0,40,<= 6 juta
7658,57,Pemerintah Negara,344381,Pendidikan Tinggi,10,Menikah,Spesialis,Laki2,107632000,0,75,> 6 juta
7659,28,Wiraswasta,180313,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
7660,37,Pekerja Bebas Bukan Perusahan,76855,Pendidikan Tinggi,10,Cerai,Ekesekutif Managerial,Perempuan,0,0,40,<= 6 juta
7661,38,Pemerintah Lokal,188612,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0,0,45,<= 6 juta
7662,43,Wiraswasta,58447,Doktor,16,Menikah,Spesialis,Laki2,1399986000,0,55,> 6 juta
7663,38,Wiraswasta,165466,SMA,9,Menikah,Pemuka Agama,Laki2,0,0,60,> 6 juta
7664,42,Wiraswasta,27661,D3,12,Menikah,Ekesekutif Managerial,Laki2,102172000,0,50,> 6 juta
7665,45,Wiraswasta,203785,9th,5,Menikah,Pembersih,Laki2,0,0,40,<= 6 juta
7666,24,Pemerintah Lokal,137300,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,20,<= 6 juta
7667,58,Wiraswasta,202652,SMA,9,Janda,Pemuka Agama,Perempuan,0,0,37,<= 6 juta
7668,71,?,116165,Pendidikan Tinggi,10,Janda,?,Perempuan,0,0,14,<= 6 juta
7669,37,Wiraswasta,189382,D3,12,Cerai,Pemuka Agama,Perempuan,0,21056000,40,<= 6 juta
7670,81,Pekerja Bebas Perusahaan,247232,10th,6,Menikah,Ekesekutif Managerial,Perempuan,41104000,0,28,<= 6 juta
7671,21,Wiraswasta,164991,SMA,9,Cerai,Sales,Perempuan,0,0,38,<= 6 juta
7672,61,Wiraswasta,176689,SMA,9,Menikah,Supir,Laki2,0,0,40,<= 6 juta
7673,42,Pemerintah Negara,341638,Sarjana,13,Menikah,Spesialis,Laki2,0,0,40,> 6 juta
7674,17,Tidak Pernah Bekerja,237272,10th,6,Belum Pernah Menikah,?,Laki2,0,0,30,<= 6 juta
7675,42,Pekerja Bebas Perusahaan,230592,Sarjana,13,Menikah,Sales,Laki2,0,0,50,<= 6 juta
7676,57,Wiraswasta,160275,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
7677,41,Wiraswasta,204682,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,30436000,0,40,<= 6 juta
7678,45,Wiraswasta,103331,Pendidikan Tinggi,10,Menikah,Servis Lainnya,Laki2,210336000,0,44,> 6 juta
7679,31,Pekerja Bebas Bukan Perusahan,119411,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0,0,50,<= 6 juta
7680,52,Pekerja Bebas Bukan Perusahan,128378,11th,7,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
7681,63,Wiraswasta,187919,11th,7,Menikah,Servis Lainnya,Laki2,0,0,30,<= 6 juta
7682,23,Wiraswasta,120068,D4,11,Menikah,Pembersih,Laki2,0,0,40,<= 6 juta
7683,63,Pemerintah Lokal,168656,Sarjana,13,Cerai,Perbaikan Kerajinan,Laki2,0,0,35,<= 6 juta
7684,75,?,226593,SMA,9,Janda,?,Perempuan,0,0,20,<= 6 juta
7685,67,Pemerintah Lokal,256821,SMA,9,Cerai,Penjaga,Laki2,0,0,20,<= 6 juta
7686,47,Wiraswasta,115070,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
7687,29,Wiraswasta,108253,Sarjana,13,Menikah,Spesialis,Perempuan,0,0,40,<= 6 juta
7688,18,Wiraswasta,238401,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0,0,25,<= 6 juta
7689,25,Wiraswasta,80220,12th,8,Menikah,Supir,Laki2,0,0,40,<= 6 juta
7690,39,Wiraswasta,91367,Master,14,Menikah,Ekesekutif Managerial,Laki2,0,25872000,45,> 6 juta
7691,24,Wiraswasta,262570,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
7692,27,Wiraswasta,208249,SMA,9,Menikah,Pembersih,Laki2,0,0,62,<= 6 juta
7693,34,Wiraswasta,157024,10th,6,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,20,<= 6 juta
7694,41,Wiraswasta,22201,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0,0,40,> 6 juta
7695,23,Wiraswasta,117789,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0,0,40,<= 6 juta
7696,21,Pemerintah Negara,145651,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0,22428000,12,<= 6 juta
7697,25,Wiraswasta,125491,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,34,<= 6 juta
7698,40,Wiraswasta,100584,10th,6,Cerai,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
7699,20,Wiraswasta,137651,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
7700,35,Wiraswasta,309131,SMA,9,Menikah,Supir,Laki2,0,0,40,<= 6 juta
7701,18,Wiraswasta,111019,10th,6,Belum Pernah Menikah,Servis Lainnya,Laki2,0,0,24,<= 6 juta
7702,37,Wiraswasta,149297,SMA,9,Belum Pernah Menikah,Pembersih,Laki2,0,0,30,<= 6 juta
7703,34,Pemerintah Lokal,303129,SMA,9,Cerai,Supir,Laki2,0,0,40,<= 6 juta
7704,41,Wiraswasta,125461,Pendidikan Tinggi,10,Cerai,Perbaikan Kerajinan,Laki2,0,0,40,> 6 juta
7705,60,Pemerintah Negara,129447,SMA,9,Janda,Pemuka Agama,Perempuan,0,0,35,<= 6 juta
7706,46,Pemerintah Lokal,99971,SMA,9,Menikah,Penjaga,Laki2,0,0,56,> 6 juta
7707,28,Wiraswasta,167336,SMA,9,Menikah,Ekesekutif Managerial,Perempuan,0,0,45,> 6 juta
7708,55,Wiraswasta,117477,11th,7,Menikah LDR,Servis Lainnya,Perempuan,0,0,40,<= 6 juta
7709,20,Wiraswasta,271379,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0,0,25,<= 6 juta
7710,41,?,213416,5th-6th,3,Menikah,?,Laki2,0,0,32,<= 6 juta
7711,56,Wiraswasta,456592,SMA,9,Cerai,Servis Lainnya,Perempuan,0,0,37,<= 6 juta
7712,37,Wiraswasta,38948,SMA,9,Menikah,Supir,Laki2,0,0,50,<= 6 juta
7713,51,Wiraswasta,317396,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
7714,45,Wiraswasta,215620,SMA,9,Cerai,Supir,Laki2,0,0,40,<= 6 juta
7715,36,Wiraswasta,214816,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Perempuan,0,0,40,<= 6 juta
7716,20,?,175431,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0,0,40,<= 6 juta
7717,33,Pekerja Bebas Bukan Perusahan,361497,SMA,9,Belum Pernah Menikah,Spesialis,Laki2,0,0,40,<= 6 juta
7718,41,Pekerja Bebas Perusahaan,114580,Sekolah Professional,15,Menikah,Ekesekutif Managerial,Perempuan,0,33810000,55,> 6 juta
7719,57,Pemerintah Negara,222792,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Perempuan,0,0,40,> 6 juta
7720,54,Pekerja Bebas Bukan Perusahan,71344,Master,14,Cerai,Spesialis,Laki2,0,0,50,> 6 juta
7721,20,Wiraswasta,236592,12th,8,Belum Pernah Menikah,Spesialis,Perempuan,0,0,35,<= 6 juta
7722,53,Wiraswasta,227602,SMA,9,Cerai,Sales,Perempuan,0,0,37,<= 6 juta
7723,24,Wiraswasta,132327,Pendidikan Tinggi,10,Menikah LDR,Sales,Perempuan,0,0,30,<= 6 juta
7724,40,Wiraswasta,141583,10th,6,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,40,<= 6 juta
7725,32,Pemerintah Lokal,232475,Sarjana,13,Menikah,Spesialis,Laki2,0,0,50,<= 6 juta
7726,17,Wiraswasta,173740,10th,6,Belum Pernah Menikah,Sales,Perempuan,0,0,15,<= 6 juta
7727,25,Wiraswasta,72887,11th,7,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,> 6 juta
7728,40,Wiraswasta,59916,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
7729,59,Wiraswasta,128829,SMA,9,Cerai,Servis Lainnya,Perempuan,0,0,40,<= 6 juta
7730,31,Wiraswasta,118710,Master,14,Menikah,Tech-support,Laki2,0,26628000,40,> 6 juta
7731,22,Wiraswasta,215251,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,40,<= 6 juta
7732,23,Wiraswasta,316841,Pendidikan Tinggi,10,Menikah,Servis Lainnya,Laki2,0,0,40,<= 6 juta
7733,23,Wiraswasta,148948,Pendidikan Tinggi,10,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0,0,45,<= 6 juta
7734,51,Pemerintah Lokal,146325,Doktor,16,Menikah,Spesialis,Laki2,0,26418000,40,> 6 juta
7735,27,Wiraswasta,212578,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0,24094000,20,<= 6 juta
7736,44,Wiraswasta,111502,SMA,9,Menikah,Sales,Perempuan,0,0,40,<= 6 juta
7737,26,Wiraswasta,171114,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0,0,40,<= 6 juta
7738,33,Wiraswasta,259301,Pendidikan Tinggi,10,Menikah,Supir,Laki2,0,0,41,<= 6 juta
7739,39,Pemerintah Negara,122353,Sarjana,13,Menikah,Spesialis,Laki2,0,0,45,> 6 juta
7740,53,Wiraswasta,99185,SMA,9,Janda,Perbaikan Kerajinan,Laki2,0,0,40,> 6 juta
7741,17,Wiraswasta,34019,11th,7,Belum Pernah Menikah,Servis Lainnya,Laki2,0,0,20,<= 6 juta
7742,23,Wiraswasta,180052,SMA,9,Belum Pernah Menikah,Servis Lainnya,Laki2,0,0,40,<= 6 juta
7743,27,Wiraswasta,39232,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
7744,32,Pemerintah Lokal,393376,Sarjana,13,Belum Pernah Menikah,Penjaga,Perempuan,0,0,48,<= 6 juta
7745,66,Pekerja Bebas Bukan Perusahan,298045,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0,0,30,<= 6 juta
7746,20,?,230955,12th,8,Belum Pernah Menikah,?,Perempuan,0,0,35,<= 6 juta
7747,26,Wiraswasta,154785,Pendidikan Tinggi,10,Menikah LDR,Pemuka Agama,Perempuan,0,0,35,<= 6 juta
7748,33,Wiraswasta,188403,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0,0,44,<= 6 juta
7749,57,Pemerintah Lokal,343447,SMA,9,Cerai,Penjaga,Perempuan,0,0,40,<= 6 juta
7750,35,Wiraswasta,241306,D4,11,Menikah,Tech-support,Laki2,0,0,40,> 6 juta
7751,41,Wiraswasta,82161,SMA,9,Menikah,Supir,Laki2,0,0,40,<= 6 juta
7752,20,Pemerintah Negara,138371,Pendidikan Tinggi,10,Belum Pernah Menikah,Petani,Laki2,0,0,32,<= 6 juta
7753,37,Wiraswasta,167415,Sekolah Professional,15,Menikah,Spesialis,Laki2,0,0,60,> 6 juta
7754,27,Wiraswasta,173927,Pendidikan Tinggi,10,Belum Pernah Menikah,Tech-support,Perempuan,0,0,32,<= 6 juta
7755,54,Wiraswasta,197481,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
7756,26,?,176967,11th,7,Belum Pernah Menikah,?,Perempuan,0,0,65,<= 6 juta
7757,34,Wiraswasta,190151,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,42,<= 6 juta
7758,23,Wiraswasta,196678,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0,0,20,<= 6 juta
7759,34,Wiraswasta,199227,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,0,0,55,<= 6 juta
7760,51,Wiraswasta,252903,10th,6,Menikah,Sales,Laki2,0,27678000,40,> 6 juta
7761,42,Wiraswasta,337629,12th,8,Menikah,Perbaikan Kerajinan,Laki2,0,0,60,> 6 juta
7762,46,Wiraswasta,241935,11th,7,Menikah,Servis Lainnya,Laki2,107632000,0,40,> 6 juta
7763,61,?,113544,Sarjana,13,Menikah,?,Laki2,0,0,55,<= 6 juta
7764,20,Wiraswasta,155818,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,20,<= 6 juta
7765,42,Wiraswasta,183241,Master,14,Menikah,Spesialis,Perempuan,0,0,45,> 6 juta
